迭代代数,Pareto解数量,当前最高喜好度,当前最低行车时间min,当前最低日耗时方差
1,11,64.0,378.0,0.15759999999999943
2,15,64.0,378.0,0.15439999999999926
3,17,64.19999999999999,378.0,0.15439999999999926
4,22,64.19999999999999,378.0,0.15439999999999926
5,27,64.19999999999999,360.0,0.13359999999999933
6,34,64.19999999999999,360.0,0.13359999999999933
7,36,64.19999999999999,360.0,0.13359999999999933
8,43,64.19999999999999,330.0,0.13359999999999933
9,50,64.19999999999999,330.0,0.13359999999999933
10,56,64.19999999999999,330.0,0.13359999999999933
11,66,64.19999999999999,312.0,0.13359999999999933
12,66,64.19999999999999,312.0,0.13359999999999933
13,70,64.19999999999999,312.0,0.13359999999999933
14,73,64.19999999999999,312.0,0.13359999999999933
15,76,64.19999999999999,312.0,0.13359999999999933
16,78,64.19999999999999,312.0,0.13359999999999933
17,79,64.19999999999999,312.0,0.13359999999999933
18,79,64.19999999999999,312.0,0.13359999999999933
19,80,64.19999999999999,312.0,0.13359999999999933
20,80,64.19999999999999,312.0,0.13359999999999933
21,80,64.19999999999999,312.0,0.13359999999999933
22,80,64.19999999999999,312.0,0.13359999999999933
23,80,64.19999999999999,312.0,0.13359999999999933
24,80,64.19999999999999,312.0,0.13359999999999933
25,80,64.19999999999999,312.0,0.13359999999999933
26,80,64.19999999999999,312.0,0.13359999999999933
27,80,64.19999999999999,312.0,0.13359999999999933
28,80,64.19999999999999,312.0,0.13359999999999933
29,80,64.19999999999999,312.0,0.13359999999999933
30,80,64.19999999999999,312.0,0.13359999999999933
31,80,64.19999999999999,312.0,0.13359999999999933
32,80,64.19999999999999,312.0,0.13359999999999933
33,80,64.19999999999999,312.0,0.13359999999999933
34,80,64.19999999999999,312.0,0.13359999999999933
35,80,64.19999999999999,312.0,0.13359999999999933
36,80,64.19999999999999,312.0,0.13359999999999933
37,80,64.19999999999999,312.0,0.13359999999999933
38,80,64.19999999999999,312.0,0.13359999999999933
39,80,64.19999999999999,312.0,0.13359999999999933
40,80,64.19999999999999,312.0,0.13359999999999933
41,80,64.19999999999999,312.0,0.13359999999999933
42,80,64.19999999999999,312.0,0.13359999999999933
43,80,64.19999999999999,312.0,0.13359999999999933
44,80,64.19999999999999,312.0,0.13359999999999933
45,80,64.19999999999999,312.0,0.13359999999999933
46,80,64.19999999999999,312.0,0.13359999999999933
47,80,64.19999999999999,312.0,0.13359999999999933
48,80,64.19999999999999,312.0,0.13359999999999933
49,80,64.19999999999999,312.0,0.13359999999999933
50,80,64.19999999999999,312.0,0.13359999999999933
51,80,64.19999999999999,312.0,0.13359999999999933
52,80,64.19999999999999,312.0,0.13359999999999933
53,80,64.19999999999999,312.0,0.13359999999999933
54,80,64.19999999999999,312.0,0.13359999999999933
55,80,64.19999999999999,312.0,0.13359999999999933
56,80,64.19999999999999,312.0,0.13359999999999933
